"Story","Title","Result","Date","Stability","Duration (s)"
"Login","As a user, i have able to login","SUCCESS","2022-05-14T00:40:05.6853898+07:00[Asia/Bangkok]","0.0","6.34"
"Login","As a user, i have not able to login because password is wrong","SUCCESS","2022-05-14T00:40:12.8018499+07:00[Asia/Bangkok]","0.0","6.27"
"Login","As a user, i have not able to login because email is wrong","SUCCESS","2022-05-14T00:40:20.3283153+07:00[Asia/Bangkok]","0.0","6.33"
"Register","As a user, i have able to create account","SUCCESS","2022-05-14T00:40:57.4751329+07:00[Asia/Bangkok]","0.0","8.15"
"Register","As a user, i have not able to create account","SUCCESS","2022-05-14T00:41:06.4598904+07:00[Asia/Bangkok]","0.0","7.92"
"Register","As a user, i can short the price of product","SUCCESS","2022-05-14T00:41:15.2064454+07:00[Asia/Bangkok]","0.0","9.37"
