"Story","Title","Result","Date","Stability","Duration (s)"
"Login","As a user, i have not able to login because password is wrong","SUCCESS","2022-05-13T01:49:26.4515561+07:00[Asia/Bangkok]","0.0","7.63"
"Login","As a user, i have not able to login because email is wrong","SUCCESS","2022-05-13T01:49:35.1441111+07:00[Asia/Bangkok]","0.0","7.74"
"Register","As a user, i have able to create account","SUCCESS","2022-05-13T01:50:35.7608642+07:00[Asia/Bangkok]","0.0","9.06"
"Register","As a user, i have not able to create account","SUCCESS","2022-05-13T01:50:45.8289251+07:00[Asia/Bangkok]","0.0","8.46"
